Date,Name,Year,Letterboxd URI,Rating
2021-10-05,Train to Busan,2016,https://boxd.it/dSQU,2
2021-10-11,Us,2019,https://boxd.it/gnV6,3
2021-10-14,Squid Game,2021,https://boxd.it/x1OG,2.5
2021-10-17,Minari,2020,https://boxd.it/mL9M,4.5
2021-10-18,8½,1963,https://boxd.it/2aqm,5
2021-10-21,From Up on Poppy Hill,2011,https://boxd.it/2VCa,3
2021-10-23,The Rocky Horror Picture Show,1975,https://boxd.it/1a3q,4
2021-10-23,Escape from Alcatraz,1979,https://boxd.it/1Vwk,3
2021-10-24,Jaws,1975,https://boxd.it/2a5e,3.5
2021-10-24,Halloween,1978,https://boxd.it/2wRu,2
2021-10-25,Midsommar,2019,https://boxd.it/jhxe,4.5
2021-10-25,Howl's Moving Castle,2004,https://boxd.it/23De,3.5
2021-10-29,Spirited Away,2001,https://boxd.it/2b4m,4.5
2021-11-02,Rear Window,1954,https://boxd.it/2a6Q,4.5
2021-11-07,The Florida Project,2017,https://boxd.it/dMG0,2
2021-11-07,It Follows,2014,https://boxd.it/87wo,1.5
2021-11-07,Ocean Waves,1993,https://boxd.it/1CtQ,4
2021-11-08,The Farewell,2019,https://boxd.it/kIky,4.5
2021-11-08,Lucky Chan-sil,2019,https://boxd.it/nAY2,4
2021-11-08,North by Northwest,1959,https://boxd.it/2aRM,4.5
2021-11-14,The Chase,2017,https://boxd.it/hAMe,1
2021-12-05,Shang-Chi and the Legend of the Ten Rings,2021,https://boxd.it/kLDI,3.5
2021-12-12,Chungking Express,1994,https://boxd.it/1UDa,4.5
2021-12-12,Annette,2021,https://boxd.it/f0RS,4
2021-12-12,Shiva Baby,2020,https://boxd.it/oIv0,2.5
2021-12-26,Microhabitat,2017,https://boxd.it/hn9o,3.5
2021-12-27,Spencer,2021,https://boxd.it/qPMG,4.5
2021-12-27,The French Dispatch,2021,https://boxd.it/jLP8,4.5
2021-12-27,The Beatles: Get Back,2021,https://boxd.it/xo7A,4.5
2022-01-01,The Power of the Dog,2021,https://boxd.it/m99E,2.5
2022-01-07,Don't Look Up,2021,https://boxd.it/o0Hc,2.5
2022-01-09,The Lost Daughter,2021,https://boxd.it/kgww,4
2022-01-15,"tick, tick...BOOM!",2021,https://boxd.it/jz2e,1
2022-01-16,Eternals,2021,https://boxd.it/j36o,3
2022-01-16,The Hand of God,2021,https://boxd.it/r5uI,5
2022-01-17,The Summit of the Gods,2021,https://boxd.it/qFIu,4
2022-01-20,The Worst Person in the World,2021,https://boxd.it/oyws,3.5
2022-01-23,Frances Ha,2012,https://boxd.it/41Xg,4
2022-01-30,Dune,2021,https://boxd.it/fA7G,4
2022-02-04,Inside Llewyn Davis,2013,https://boxd.it/34Ro,5
2022-02-05,When Harry Met Sally...,1989,https://boxd.it/29W2,4.5
2022-02-06,mother!,2017,https://boxd.it/dgRU,4.5
2022-02-06,All About My Mother,1999,https://boxd.it/2b9c,3.5
2022-02-06,Drive My Car,2021,https://boxd.it/sv94,3
2022-02-11,The Matrix Resurrections,2021,https://boxd.it/n87k,3
2022-02-11,Happy Together,1997,https://boxd.it/1Ha0,3.5
2022-02-11,Raw,2016,https://boxd.it/dLd2,4
2022-02-11,Paddleton,2019,https://boxd.it/j4YQ,3.5
2022-02-11,Millennium Actress,2001,https://boxd.it/1fK0,3.5
2022-02-11,Before Sunset,2004,https://boxd.it/2bcg,5
2022-02-11,Before Sunrise,1995,https://boxd.it/2bcU,4.5
